"Year" "State" "Age" "Sex" "Deaths" "Population"
"23461" 2003 "Utah" "35-44" "F" 194 145688
"23463" 2004 "Utah" "35-44" "F" 187 145985
"23465" 2005 "Utah" "35-44" "F" 196 147645
"23467" 2006 "Utah" "35-44" "F" 216 150333
"23469" 2007 "Utah" "35-44" "F" 216 153432
"23471" 2008 "Utah" "35-44" "F" 183 155878
"23473" 2009 "Utah" "35-44" "F" 226 159304
"23475" 2010 "Utah" "35-44" "F" 206 163076
"23477" 2011 "Utah" "35-44" "F" 194 168365
"23479" 2012 "Utah" "35-44" "F" 230 174678
"23481" 2013 "Utah" "35-44" "F" 215 182715
"23483" 2014 "Utah" "35-44" "F" 271 189250
"23485" 2015 "Utah" "35-44" "F" 275 195679
"23487" 2016 "Utah" "35-44" "F" 270 201636
"23489" 2017 "Utah" "35-44" "F" 269 207394
"23491" 2018 "Utah" "35-44" "F" 276 213441
"23493" 2019 "Utah" "35-44" "F" 290 218028
"23495" 2020 "Utah" "35-44" "F" 322 221561
"23981" 1999 "Vermont" "35-44" "F" 57 52340
"23983" 2000 "Vermont" "35-44" "F" 62 52043
"23985" 2001 "Vermont" "35-44" "F" 61 51225
"23987" 2002 "Vermont" "35-44" "F" 56 50005
"23989" 2003 "Vermont" "35-44" "F" 44 48835
"23991" 2004 "Vermont" "35-44" "F" 44 47697
"23993" 2005 "Vermont" "35-44" "F" 46 46596
"23995" 2006 "Vermont" "35-44" "F" 45 45438
"23997" 2007 "Vermont" "35-44" "F" 57 43902
"23999" 2008 "Vermont" "35-44" "F" 42 42351
"24001" 2009 "Vermont" "35-44" "F" 37 40625
"24003" 2010 "Vermont" "35-44" "F" 38 39774
"24005" 2011 "Vermont" "35-44" "F" 39 38374
"24007" 2012 "Vermont" "35-44" "F" 36 37463
"24009" 2013 "Vermont" "35-44" "F" 51 36877
"24011" 2014 "Vermont" "35-44" "F" 38 36268
"24013" 2015 "Vermont" "35-44" "F" 49 35757
"24015" 2016 "Vermont" "35-44" "F" 41 35093
"24017" 2017 "Vermont" "35-44" "F" 54 35167
"24019" 2018 "Vermont" "35-44" "F" 54 35683
"24021" 2019 "Vermont" "35-44" "F" 47 36052
"24023" 2020 "Vermont" "35-44" "F" 72 36556
"24509" 1999 "Virginia" "35-44" "F" 835 601916
"24511" 2000 "Virginia" "35-44" "F" 861 606713
"24513" 2001 "Virginia" "35-44" "F" 842 607785
"24515" 2002 "Virginia" "35-44" "F" 834 605657
"24517" 2003 "Virginia" "35-44" "F" 829 600889
"24519" 2004 "Virginia" "35-44" "F" 806 598641
"24521" 2005 "Virginia" "35-44" "F" 766 595787
"24523" 2006 "Virginia" "35-44" "F" 778 592823
"24525" 2007 "Virginia" "35-44" "F" 770 586192
"24527" 2008 "Virginia" "35-44" "F" 728 577024
"24529" 2009 "Virginia" "35-44" "F" 718 567107
"24531" 2010 "Virginia" "35-44" "F" 688 560390
"24533" 2011 "Virginia" "35-44" "F" 642 552557
"24535" 2012 "Virginia" "35-44" "F" 662 550841
"24537" 2013 "Virginia" "35-44" "F" 637 548349
"24539" 2014 "Virginia" "35-44" "F" 686 548527
"24541" 2015 "Virginia" "35-44" "F" 652 548401
"24543" 2016 "Virginia" "35-44" "F" 710 547204
"24545" 2017 "Virginia" "35-44" "F" 714 550183
"24547" 2018 "Virginia" "35-44" "F" 677 555542
"24549" 2019 "Virginia" "35-44" "F" 692 558642
"24551" 2020 "Virginia" "35-44" "F" 889 566350
"25037" 1999 "Washington" "35-44" "F" 565 488094
"25039" 2000 "Washington" "35-44" "F" 583 484789
"25041" 2001 "Washington" "35-44" "F" 526 480508
"25043" 2002 "Washington" "35-44" "F" 599 474156
"25045" 2003 "Washington" "35-44" "F" 593 467867
"25047" 2004 "Washington" "35-44" "F" 550 465463
"25049" 2005 "Washington" "35-44" "F" 498 464622
"25051" 2006 "Washington" "35-44" "F" 533 464108
"25053" 2007 "Washington" "35-44" "F" 506 461288
"25055" 2008 "Washington" "35-44" "F" 494 455149
"25057" 2009 "Washington" "35-44" "F" 506 450903
"25059" 2010 "Washington" "35-44" "F" 511 448868
"25061" 2011 "Washington" "35-44" "F" 465 447166
"25063" 2012 "Washington" "35-44" "F" 441 449185
"25065" 2013 "Washington" "35-44" "F" 485 449969
"25067" 2014 "Washington" "35-44" "F" 488 452813
"25069" 2015 "Washington" "35-44" "F" 477 457195
"25071" 2016 "Washington" "35-44" "F" 477 464357
"25073" 2017 "Washington" "35-44" "F" 512 479068
"25075" 2018 "Washington" "35-44" "F" 528 493095
"25077" 2019 "Washington" "35-44" "F" 575 505087
"25079" 2020 "Washington" "35-44" "F" 659 518263
"25565" 1999 "West Virginia" "35-44" "F" 232 140381
"25567" 2000 "West Virginia" "35-44" "F" 205 138791
"25569" 2001 "West Virginia" "35-44" "F" 265 134862
"25571" 2002 "West Virginia" "35-44" "F" 242 131553
"25573" 2003 "West Virginia" "35-44" "F" 262 128649
"25575" 2004 "West Virginia" "35-44" "F" 229 126175
"25577" 2005 "West Virginia" "35-44" "F" 254 124150
"25579" 2006 "West Virginia" "35-44" "F" 245 123103
"25581" 2007 "West Virginia" "35-44" "F" 241 121987
"25583" 2008 "West Virginia" "35-44" "F" 229 120646
"25585" 2009 "West Virginia" "35-44" "F" 271 118602
"25587" 2010 "West Virginia" "35-44" "F" 245 117665
"25589" 2011 "West Virginia" "35-44" "F" 280 115926
"25591" 2012 "West Virginia" "35-44" "F" 269 115254
"25593" 2013 "West Virginia" "35-44" "F" 261 114953
"25595" 2014 "West Virginia" "35-44" "F" 282 114024
"25597" 2015 "West Virginia" "35-44" "F" 270 112875
"25599" 2016 "West Virginia" "35-44" "F" 287 110566
"25601" 2017 "West Virginia" "35-44" "F" 304 108751
"25603" 2018 "West Virginia" "35-44" "F" 258 107797
"25605" 2019 "West Virginia" "35-44" "F" 292 106301
"25607" 2020 "West Virginia" "35-44" "F" 337 105118
"26093" 1999 "Wisconsin" "35-44" "F" 455 437025
"26095" 2000 "Wisconsin" "35-44" "F" 536 436435
"26097" 2001 "Wisconsin" "35-44" "F" 468 433291
"26099" 2002 "Wisconsin" "35-44" "F" 538 428385
"26101" 2003 "Wisconsin" "35-44" "F" 488 420965
"26103" 2004 "Wisconsin" "35-44" "F" 464 413855
"26105" 2005 "Wisconsin" "35-44" "F" 493 406024
"26107" 2006 "Wisconsin" "35-44" "F" 459 397905
"26109" 2007 "Wisconsin" "35-44" "F" 469 388658
"26111" 2008 "Wisconsin" "35-44" "F" 440 377248
"26113" 2009 "Wisconsin" "35-44" "F" 441 366428
"26115" 2010 "Wisconsin" "35-44" "F" 390 359309
"26117" 2011 "Wisconsin" "35-44" "F" 407 350498
"26119" 2012 "Wisconsin" "35-44" "F" 420 345539
"26121" 2013 "Wisconsin" "35-44" "F" 396 342849
"26123" 2014 "Wisconsin" "35-44" "F" 380 341036
"26125" 2015 "Wisconsin" "35-44" "F" 373 340469
"26127" 2016 "Wisconsin" "35-44" "F" 440 338940
"26129" 2017 "Wisconsin" "35-44" "F" 404 342909
"26131" 2018 "Wisconsin" "35-44" "F" 389 348000
"26133" 2019 "Wisconsin" "35-44" "F" 474 352372
"26135" 2020 "Wisconsin" "35-44" "F" 510 356952
"26621" 1999 "Wyoming" "35-44" "F" 68 40269
"26623" 2000 "Wyoming" "35-44" "F" 65 39523
"26625" 2001 "Wyoming" "35-44" "F" 56 38079
"26627" 2002 "Wyoming" "35-44" "F" 60 36659
"26629" 2003 "Wyoming" "35-44" "F" 64 35334
"26631" 2004 "Wyoming" "35-44" "F" 53 34199
"26633" 2005 "Wyoming" "35-44" "F" 56 33329
"26635" 2006 "Wyoming" "35-44" "F" 53 32706
"26637" 2007 "Wyoming" "35-44" "F" 68 32471
"26639" 2008 "Wyoming" "35-44" "F" 56 32355
"26641" 2009 "Wyoming" "35-44" "F" 58 32181
"26643" 2010 "Wyoming" "35-44" "F" 54 32115
"26645" 2011 "Wyoming" "35-44" "F" 61 31920
"26647" 2012 "Wyoming" "35-44" "F" 50 32553
"26649" 2013 "Wyoming" "35-44" "F" 45 32994
"26651" 2014 "Wyoming" "35-44" "F" 52 33444
"26653" 2015 "Wyoming" "35-44" "F" 66 33863
"26655" 2016 "Wyoming" "35-44" "F" 72 34064
"26657" 2017 "Wyoming" "35-44" "F" 55 34385
"26659" 2018 "Wyoming" "35-44" "F" 56 34948
"26661" 2019 "Wyoming" "35-44" "F" 47 35803
"26663" 2020 "Wyoming" "35-44" "F" 56 36454
